"lineid:integer:p:line[linename]","stationid:integer:p:station[stationname]","realkilo:integer","fakekilo:integer","kilocompanyid:integer::company[companyname]"
"東海道","蒲原",1549,,
"東海道","由比",1584,,
"東海道","興津",1643,,
"東海道","清水",1690,,
"東海道","草薙",1742,,
"東海道","東静岡",1777,,
"東海道","静岡",1802,,
"東海道","安倍川",1845,,
"東海道","用宗",1866,,
"東海道","焼津",1937,,
"東海道","西焼津",1970,,
"東海道","藤枝",2003,,
"東海道","六合",2049,,
"東海道","（東）島田",2078,,
"東海道","金谷",2129,,
"東海道","菊川",2222,,
"東海道","掛川",2293,,
"東海道","愛野",2346,,
"東海道","袋井",2381,,
"東海道","磐田",2459,,
"東海道","豊田町",2488,,
"東海道","天竜川",2527,,
"東海道","浜松",2571,,
"東海道","高塚",2624,,
"東海道","舞阪",2675,,
"東海道","弁天島",2698,,
"東海道","新居町",2729,,
"東海道","鷲津",2766,,
"東海道","新所原",2824,,
"東海道","二川",2867,,
"東海道","豊橋",2936,,
"東海道","西小坂井",2984,,
"東海道","愛知御津",3021,,
"東海道","三河大塚",3052,,
"東海道","三河三谷",3083,,
"東海道","蒲郡",3106,,
"東海道","三河塩津",3129,,
"東海道","三ヶ根",3155,,
"東海道","幸田",3185,,
"東海道","岡崎",3259,,
"東海道","西岡崎",3301,,
"東海道","安城",3337,,
"東海道","三河安城",3363,,
"東海道","東刈谷",3381,,
"東海道","野田新町",3397,,
"東海道","刈谷",3416,,
"東海道","逢妻",3435,,
"東海道","大府",3465,,
"東海道","共和",3495,,
"東海道","南大高",3518,,
"東海道","大高",3536,,
"東海道","笠寺",3568,,
"東海道","熱田",3608,,
"東海道","（中）金山",3627,,
"東海道","尾頭橋",3636,,
"東海道","名古屋",3660,,
"東海道","枇杷島",3700,,
"東海道","清洲",3738,,
"東海道","稲沢",3771,,
"東海道","尾張一宮",3831,,
"東海道","木曽川",3886,,
"東海道","岐阜",3963,,
"東海道","西岐阜",3995,,
"東海道","穂積",4023,,
"東海道","大垣",4100,,
"東海道","垂井",4181,,
"東海道","関ヶ原",4238,,
"東海道","（東）柏原",4309,,
"東海道","近江長岡",4352,,
"東海道","醒ヶ井",4398,,
"東海道","米原",4459,,
"東海道","彦根",4519,,
"東海道","南彦根",4552,,
"東海道","河瀬",4583,,
"東海道","稲枝",4620,,
"東海道","能登川",4657,,
"東海道","安土",4708,,
"東海道","近江八幡",4743,,
"東海道","篠原",4783,,
"東海道","野洲",4839,,
"東海道","守山",4870,,
"東海道","栗東",4891,,
"東海道","草津",4914,,
"東海道","南草津",4939,,
"東海道","（東）瀬田",4966,,
"東海道","石山",4991,,
"東海道","膳所",5019,,
"東海道","大津",5036,,
"東海道","山科",5081,,
"東海道","京都",5136,,
"東海道","西大路",5161,,
"東海道","（東）桂川",5189,,
"東海道","向日町",5200,,
"東海道","長岡京",5237,,
"東海道","（東）山崎",5277,,
"東海道","島本",5299,,
"東海道","高槻",5352,,
"東海道","摂津富田",5381,,
"東海道","茨木",5418,,
"東海道","千里丘",5447,,
"東海道","岸辺",5464,,
"東海道","吹田",5488,,
"東海道","東淀川",5519,,
"東海道","新大阪",5526,,
"東海道","大阪",5564,,
"東海道","塚本",5598,,
"東海道","尼崎",5641,,
"東海道","立花",5671,,
"東海道","甲子園口",5693,,
"東海道","西宮",5718,,
"東海道","さくら夙川",5733,,
"東海道","芦屋",5756,,
"東海道","甲南山手",5770,,
"東海道","摂津本山",5785,,
"東海道","（東）住吉",5801,,
"東海道","六甲道",5823,,
"東海道","灘",5846,,
"東海道","三ノ宮",5870,,
"東海道","元町",5878,,
"東海道","神戸",5895,,
"山陽","神戸",0,,"本州"
"山陽","兵庫",18,,"本州"
"山陽","新長田",41,,"本州"
"山陽","鷹取",51,,"本州"
"山陽","須磨海浜公園",60,,"本州"
"山陽","須磨",73,,"本州"
"山陽","塩屋",102,,"本州"
"山陽","垂水",131,,"本州"
"山陽","舞子",151,,"本州"
"山陽","朝霧",170,,"本州"
"山陽","明石",194,,"本州"
"山陽","西明石",228,,"本州"
"山陽","（陽）大久保",256,,"本州"
"山陽","魚住",291,,"本州"
"山陽","土山",322,,"本州"
"山陽","東加古川",355,,"本州"
"山陽","加古川",391,,"本州"
"山陽","宝殿",424,,"本州"
"山陽","曽根",464,,"本州"
"山陽","ひめじ別所",484,,"本州"
"山陽","御着",505,,"本州"
"山陽","姫路",548,,"本州"
"山陽","英賀保",594,,"本州"
